ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010156418;"couture = tissage";;;"AO 32227";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010156419;"vase ; cachet";;;"AO 32228";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010174422;"bague ; cachet";;"-1550 / -1150  (Bronze récent)";"AO 11427 BIS";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010200791;"plateau de balance";;"-3300 / -1150  (Bronze)";"AO 19213 A; RS 8529";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010406357;bracelet;;;"AO 19320 B; RS 9717 B";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443583;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 11";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443584;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 12";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443591;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 19";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443592;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 20";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443595;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 23";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443596;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 24";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443597;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 25";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443599;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 27";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443602;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 30";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443604;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 32";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010119656;poids;;"-1400 / -1200  (Bronze récent II)";"AO 11425";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"non exposé";
cl010119668;poids;;"-1400 / -1200  (Bronze récent II)";"AO 17234";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119670;poids;;"-1400 / -1200  (Bronze récent II)";"AO 18518; RS 7.477";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119690;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19275; RS 9.274";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010120097;perle;;"-1200 / -1150  (Bronze récent III)";"AO 17412 B; RS 6.150";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010135925;"sceau cylindre";;"-2100 / -1550  (Bronze moyen)";"AO 11231";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136145;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 11420";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136147;cachet;;"-1550 / -1150  (Bronze récent)";"AO 11422";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136356;cymbale;;"-1550 / -1150  (Bronze récent)";"AO 11636 A";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136410;"pointe de flèche";;;"AO 11688";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
