ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010448481;anneau;;;"AO 19338 3; RS 9.689 A";"Département des Antiquités orientales";"Place of discovery : Ras Shamra tombe LVII";"non exposé";
cl010119657;poids;;"-1400 / -1200  (Bronze récent II)";"AO 11661";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010119659;poids;;"-1400 / -1200  (Bronze récent II)";"AO 11670";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119663;sculpture;;"-1400 / -1200  (Bronze récent II)";"AO 14834; RS 3.300";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010119671;poids;;"-1400 / -1200  (Bronze récent II)";"AO 18536; RS 7.159";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Est";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119672;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19085; RS 8.051";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Ouest";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119674;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19087; RS 8.048";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Ouest";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119678;"Poids inscrit : taureau";;"-1400 / -1200  (Bronze récent II)";"AO 19092; RS 8.244";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Est";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119679;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19102; RS 8.148";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119680;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19103; RS 8.157";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119682;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19105; RS 8.220";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Est";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119684;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19107; RS 8.160";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Ouest";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119687;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19124; RS 8.263";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Est";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119695;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19280; RS 9.176";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Ouest";"non exposé";
cl010119700;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19285; RS 9.040";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse Est";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010120039;boîte;;"-1200 / -1150  (Bronze récent III)";"AO 15730";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe VI";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010120077;boîte;;"-2000 / -1700  (Bronze moyen II)";"AO 14802; RS 3.461";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010120080;pendeloque;;"-1200 / -1150  (Bronze récent III)";"AO 14829; RS 3.66";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010120095;vase;;"-1200 / -1150  (Bronze récent III)";"AO 17370";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010136311;figurine;;;"AO 11598";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010136318;boîte;;"-1400 / -1200  (Bronze récent II)";"AO 11602 B; RS 1.[101]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010136320;boîte;;"-1550 / -1150  (Bronze récent)";"AO 11603 B; RS 1.[102]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III (?)";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010136328;herminette;;;"AO 11610; RS 1.[051]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 5 Inscriptions alphabétiques";
cl010136375;"placage de meuble";;"-1550 / -1150  (Bronze récent)";"AO 11651; RS 1.[104]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010136376;"boîte à fard";;"-1400 / -1200  (Bronze récent II)";"AO 11652; RS 1.[105]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010136378;rondelle;;"-1550 / -1150  (Bronze récent)";"AO 11654; RS 1.[107]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010136379;rondelle;;"-1550 / -1150  (Bronze récent)";"AO 11655; RS 1.[108]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010136387;"pointe de flèche";;;"AO 11664";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010136395;cachet;;;"AO 11672";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010136397;"objet indéterminé ; manche d'outil";;"-1550 / -1150  (Bronze récent)";"AO 11674; RS 1.[111]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010136398;poids;;;"AO 11676";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010136400;aiguille;;;"AO 11678";"Département des Antiquités orientales";"Place of discovery : Minet el Beida nécropole = Minet el Beida tombe";"non exposé";
cl010136421;"tige ; foret";;;"AO 11697";"Département des Antiquités orientales";"Place of discovery : Minet el Beida nécropole = Minet el Beida tombe";"non exposé";
cl010136422;poignard;;"-3300 / -1150  (Bronze)";"AO 11698";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010136426;aiguille;;"-3300 / -1150  (Bronze)";"AO 11700";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010136438;vase;;;"AO 11711";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010136442;vase;;;"AO 11715";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010136452;vase;;"-1550 / -1100  (Mycénien)";"AO 11724";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe D";"non exposé";
cl010136454;anneau;;"-1550 / -1150  (Bronze récent)";"AO 11728";"Département des Antiquités orientales";"Place of discovery : Minet el Beida nécropole = Minet el Beida tombe";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010136714;"Tablette : rite pour le pays";;"-1400 / -1200  (Bronze récent II)";"AO 11993; RS 1.002";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010136717;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 11996; RS 2.[005]; RS 1.003; RS 1.003 + RS 2.[005]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010136723;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 12000; RS 1.026";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010136728;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 12005; RS 1.029; RS 1.029 [A]+";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010136729;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 12006; RS 1.018";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010136755;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 12030; RS 1.038";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010136764;"tablette ; fragment";;"-1400 / -1200  (Bronze récent II)";"AO 12038; RS 1.009; RS 1.009 [A]; RS 1.009 [A-G]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010137516;"objet indéterminé ; vase";;"-1550 / -1150  (Bronze récent)";"AO 13131";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137788;lance;;"-3300 / -1150  (Bronze)";"AO 13094";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137793;épingle;;"-3300 / -1150  (Bronze)";"AO 13099";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137797;aiguille;;"-3300 / -1150  (Bronze)";"AO 13100";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137803;lampe;;;"AO 13106";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137817;poignard;;"-3300 / -1150  (Bronze)";"AO 13119";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137822;"objet indéterminé";;;"AO 13123";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137824;figurine;;"-1550 / -1150  (Bronze récent)";"AO 13125";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010137831;"moule ; moule à bijoux";;;"AO 13135";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010137862;vase;;;"AO 13141";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137886;"sceau cylindre";;"-1550 / -1400  (Bronze récent I)";"AO 13164; RS 2.014";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137888;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 13166; RS 2.[047]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 18 Glyptique";
cl010137889;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 13167";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137891;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 13169";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137894;cachet;;"-1550 / -1150  (Bronze récent)";"AO 13171";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137897;"Stèle de Baal coiffé de feuilles";;;"AO 13174; RS 2.[037]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Hors vitrine";
cl010137899;"Stèle de Mamy";;"-1300 / -1150  (Bronze récent)";"AO 13176; RS 1.089; RS 2.033; RS 5.183";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010137902;poids;;"-1400 / -1200  (Bronze récent II)";"AO 13179";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137903;fusaïole;;;"AO 13180";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137905;vase;;"-1550 / -1150  (Bronze récent)";"AO 13182; RS 1.[094]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 13 Albâtre";
cl010137907;vase;;;"AO 13184";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010137909;vase;;;"AO 13186";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139309;vase;;"-1550 / -1150  (Bronze récent)";"AO 14789; RS 3.120 b; RS 3.120 a";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 13 Albâtre";
cl010139311;vase;;"-1550 / -1150  (Bronze récent)";"AO 14791; RS 3.214 a; RS 3.214 b";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 13 Albâtre";
cl010139555;plaquette;;;"AO 14715; RS 3.181";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139556;plaquette;;;"AO 14716; RS 3.190";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139557;plaquette;;;"AO 14717; RS 3.191";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139560;pendentif;;;"AO 14720; RS 3.217";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139564;figurine;;;"AO 14724; RS 3.439";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010139586;vase;;"-1600 / -1050  (Chypriote récent)";"AO 14747; RS 3.389";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010139597;herminette;;"-3300 / -1150  (Bronze)";"AO 14758; à vérifier (MB 77 1931)";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139615;"pointe de flèche";;;"AO 14776; mission n° 228";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139621;accessoire;;"-1550 / -1150  (Bronze récent)";"AO 14782; RS 3.238";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"non exposé";
cl010139624;vase;;"-1400 / -1200  (Bronze récent II)";"AO 14785; RS 3.117";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 13 Albâtre";
cl010139626;vase;;"-1400 / -1200  (Bronze récent II)";"AO 14787; RS 3.115 b; RS 3.115 a";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 13 Albâtre";
cl010139628;vase;;"-1550 / -1150  (Bronze récent)";"AO 14793; RS 3.[569]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"non exposé";
cl010139632;jeu;;"-1550 / -1150  (Bronze récent)";"AO 14798; RS 3.301";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010139645;plaquette;;"-1550 / -1150  (Bronze récent)";"AO 14873";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"non exposé";
cl010139672;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 14811; RS 3.041";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 18 Glyptique";
cl010139676;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 14815";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139678;"sceau cylindre";;;"AO 14817";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139679;"sceau cylindre";;"-1550 / -1400  (Bronze récent I)";"AO 14818; RS 3.049";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139702;figurine;;"-1550 / -1150  (Bronze récent)";"AO 14843";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139714;vase;;"-1550 / -1100  (Mycénien)";"AO 14855";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010139716;vase;;"-1550 / -1100  (Mycénien)";"AO 14857; RS 3.545";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"non exposé";
cl010139754;vase;;"-1400 / -1200  (Bronze récent II)";"AO 14906";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139759;vase;;"-1400 / -1200  (Bronze récent II)";"AO 14910";"Département des Antiquités orientales";"Place of creation : Chypre / Place of discovery : Minet el Beida dépôt 213";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010139789;vase;;;"AO 14945; RS 3.143";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"non exposé";
cl010139790;vase;;;"AO 14946";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"non exposé";
cl010139794;vase;;;"AO 14950";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt";"non exposé";
cl010139796;vase;;;"AO 14952";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010139797;vase;;;"AO 14953";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 213";"non exposé";
cl010140500;vase;;"-1550 / -1150  (Bronze récent)";"AO 15721; RS 4.138";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 43";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 13 Albâtre";
cl010140502;vase;;"-2000 / -1700  (Bronze moyen II)";"AO 15723; RS 4.472";"Département des Antiquités orientales";"Place of discovery : Ras Shamra tombe";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010140505;vase;;"-1700 / -1550  (Bronze moyen III)";"AO 15735";"Département des Antiquités orientales";"Place of discovery : Ras Shamra ville basse";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 15 Ras Shamra-Ougarit : la céramique locale";
cl010140506;vase;;"-1550 / -1100  (Mycénien)";"AO 15736; RS 4.202";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010140507;vase;;"-1550 / -1100  (Mycénien)";"AO 15737";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe V";"non exposé";
cl010140511;vase;;"-1400 / -1200  (Bronze récent II)";"AO 15741";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe V";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010140512;vase;;"-1400 / -1200  (Bronze récent II ; Mycénien)";"AO 15742; RS 4.209";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010140514;vase;;"-1550 / -1100  (Mycénien)";"AO 15744";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe V";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010140516;vase;;"-1550 / -1150  (Bronze récent)";"AO 15746; RS 4.213";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe VI";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 13 Albâtre";
cl010140517;vase;;;"AO 15747; RS 4.214";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe V";"non exposé";
cl010140523;peigne;;"-1550 / -1150  (Bronze récent)";"AO 15754; RS 4.220[A]";"Département des Antiquités orientales";"Place of discovery : Minet el Beida dépôt 43";"non exposé";
cl010140529;vase;;"-1550 / -1150  (Bronze récent)";"AO 15760; AO 18638; RS 4.070";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe VI";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 13 Albâtre";
cl010140541;"sceau cylindre";;"-1400 / -1200  (Bronze récent II)";"AO 15774; RS 4.162";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010140542;"Stèle du Baal au foudre";;"-2000 / -1150  (Bronze moyen ; Bronze récent)";"AO 15775; RS 4.427";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Hors vitrine";
cl010140881;vase;;;"AO 16084";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe II";"non exposé";
cl010140883;vase;;;"AO 16086";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe II";"non exposé";
cl010140888;vase;;"-1550 / -1150  (Bronze récent ; Mycénien)";"AO 16090";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe III";"non exposé";
cl010140890;vase;;"-1550 / -1100  (Mycénien)";"AO 16092";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe V";"non exposé";
cl010140894;vase;;"-1550 / -1100  (Mycénien)";"AO 16096; RS 4.225";"Département des Antiquités orientales";"Place of discovery : Minet el Beida";"non exposé";
cl010140897;vase;;"-1400 / -1200  (Bronze récent II)";"AO 16099";"Département des Antiquités orientales";"Place of discovery : Minet el Beida tombe VI";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010141442;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 16640; RS 3.367; RS 3.367 + 3.346; RS 3.346";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 12 Littérature et mythologie";
cl010141444;"tablette ; fragment";;"-1400 / -1200  (Bronze récent II)";"AO 16641; AO 16642; RS 2.[022]; RS 3.[565]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 12 Littérature et mythologie";
cl010141970;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 17202; 362 RS 1931; RS 3.360";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010142004;figurine;;;"AO 17236";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010142049;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 17291; RS 5.200";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010142052;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 17294; RS 5.213";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010142074;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 17321; RS 3.348";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010142082;figurine;;"-1550 / -1150  (Bronze récent)";"AO 17329; RS 6.304";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010142106;bracelet;;"-539 / -330  (Achéménide)";"AO 17353; RS 6.414";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010142191;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17442; RS 6.085";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 18 Glyptique";
cl010142193;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 17444";"Département des Antiquités orientales";"Place of discovery : Minet el Beida nécropole = Minet el Beida tombe";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 18 Glyptique";
cl010143298;figurine;;"-1400 / -1150  (Bronze récent)";"AO 18517; RS 7.103";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010143329;"sceau cylindre";;"-1894 / -1595  (1ère dynastie de Babylone)";"AO 18552; RS 7.174";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"non exposé";
cl010143333;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 18556; RS 7.122";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 18 Glyptique";
cl010143362;"Cratère : ibex et poisson";;"-1550 / -1400  (Bronze récent I)";"AO 18586; RS 6.065";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 15 Ras Shamra-Ougarit : la céramique locale";
