isf_assigned_text_number	text_or_publication_number_note	text_descriptive_title	text_description	is_part_of_corpus1	category	location_of_original
ISF_TXT_07515	KTU 4.722; KTU2 4.722; KTU3 4.722; CTU 4.722; CAT 4.722; RS 23.032; DO 6104	Content Uncertain	Ugaritic Tablet KTU 4.722	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07516	KTU 4.723; KTU2 4.723; KTU3 4.723; CTU 4.723; CAT 4.723; RS 23.037; DO 6108	List, PNN	Ugaritic Tablet KTU 4.723	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07517	KTU 4.724; KTU2 4.724; KTU3 4.724; CTU 4.724; CAT 4.724; RS 23.488; DO 6127	List, persons, some of them with their respective heirs	Ugaritic Tablet KTU 4.724	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07518	KTU 4.725; KTU2 4.725; KTU3 4.725; CTU 4.725; CAT 4.725; RS 23.496; DO 6136	List, PNN	Ugaritic Tablet KTU 4.725	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07519	KTU 4.726; KTU2 4.726; KTU3 4.726; CTU 4.726; CAT 4.726; RS 24.078	Record, numbers of jars	Ugaritic Tablet KTU 4.726	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07520	KTU 4.727; KTU2 4.727; KTU3 4.727; CTU 4.727; CAT 4.727; RS 24.289; DO 6620	List, houses or households	Ugaritic Tablet KTU 4.727	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07521	KTU 4.728; KTU2 4.728; KTU3 4.728; CTU 4.728; CAT 4.728; RS 24.292; DO 6623	Record, list of persons who did not deliver oil	Ugaritic Tablet KTU 4.728	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07522	KTU 4.729; KTU2 4.729; KTU3 4.729; CTU 4.729; CAT 4.729; RS 24.301; DO 6632	List, herdsmen	Ugaritic Tablet KTU 4.729	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01512	KTU 4.73; KTU2 4.73; CTU 4.73; CAT 4.73; RS 11.843; RS 11.724; A 2823; CTA 70; M 3431	list of towns with numbers	list of towns	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_07523	KTU 4.730; KTU2 4.730; KTU3 4.730; CTU 4.730; CAT 4.730; RS 24.303	List, PNN	Ugaritic Tablet KTU 4.730	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07524	KTU 4.731; KTU2 4.731; KTU3 4.731; CTU 4.731; CAT 4.731; RS 24.304; DO 6634	Content Uncertain	Ugaritic Tablet KTU 4.731	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07525	KTU 4.732; KTU2 4.732; KTU3 4.732; CTU 4.732; CAT 4.732; RS 24.642	E+F Content Uncertain	Ugaritic Tablet KTU 4.732	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07526	KTU 4.733; KTU2 4.733; KTU3 4.733; CTU 4.733; CAT 4.733; RS 24.642 G	Content Uncertain	Ugaritic Tablet KTU 4.733	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07527	KTU 4.734; KTU2 4.734; KTU3 4.734; CTU 4.734; CAT 4.734; RS 24.651 A; RS 24.652 C; RS 24.652 I; RS 24.652 G; RS 24.652 K	KTU 4.734 + 7.163 + 7.168 religious?	Ugaritic Tablet KTU 4.734	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07528	KTU 4.735; KTU2 4.735; KTU3 4.735; CTU 4.735; CAT 4.735; RS 24.651 B	Content Uncertain	Ugaritic Tablet KTU 4.735	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07529	KTU 4.736; KTU2 4.736; KTU3 4.736; CTU 4.736; CAT 4.736; RS 24.651 C	Record?	Ugaritic Tablet KTU 4.736	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07530	KTU 4.737; KTU2 4.737; KTU3 4.737; CTU 4.737; CAT 4.737; RS 24.655 C	Content Uncertain, PNN	Ugaritic Tablet KTU 4.737	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07531	KTU 4.738; KTU2 4.738; KTU3 4.738; CTU 4.738; CAT 4.738; RS 24.660 A; DO 6682	List/record? Of luxury goods: metals, garments, textiles, perfumed oils	Ugaritic Tablet KTU 4.738	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07532	KTU 4.739; KTU2 4.739; KTU3 4.739; CTU 4.739; CAT 4.739; RS 24.660 B; DO 6683	List, PNN	Ugaritic Tablet KTU 4.739	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07533	KTU 4.740; KTU2 4.740; KTU3 4.740; CTU 4.740; CAT 4.740; RS 24.660 E	List, persons with their associates	Ugaritic Tablet KTU 4.740	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07534	KTU 4.741; KTU2 4.741; KTU3 4.741; CTU 4.741; CAT 4.741; RS 24.660 F	List, PNN	Ugaritic Tablet KTU 4.741	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07535	KTU 4.742; KTU2 4.742; KTU3 4.742; CTU 4.742; CAT 4.742; RS 25.139; DO 6698	Record	Ugaritic Tablet KTU 4.742	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07536	KTU 4.743; KTU2 4.743; KTU3 4.743; CTU 4.743; CAT 4.743; RS 25.140; DO 6690	Record?	Ugaritic Tablet KTU 4.743	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07537	KTU 4.744; KTU2 4.744; KTU3 4.744; CTU 4.744; CAT 4.744; RS 25.143; DO 6702	Content Uncertain	Ugaritic Tablet KTU 4.744	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07538	KTU 4.745; KTU2 4.745; KTU3 4.745; CTU 4.745; CAT 4.745; RS 25.417; DO 6707	List, trades/professions with numbers	Ugaritic Tablet KTU 4.745	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07539	KTU 4.746; KTU2 4.746; KTU3 4.746; CTU 4.746; CAT 4.746; RS 26.156; DO 6788	Record, quantities of grain? Delivered to individuals	Ugaritic Tablet KTU 4.746	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07540	KTU 4.747; KTU2 4.747; KTU3 4.747; CTU 4.747; CAT 4.747; RS 26.161	Record, quantities of grain? Delivered to individuals	Ugaritic Tablet KTU 4.747	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07541	KTU 4.748; KTU2 4.748; KTU3 4.748; CTU 4.748; CAT 4.748; RS 27.055; DO 6797	List, PNN	Ugaritic Tablet KTU 4.748	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07542	KTU 4.749; KTU2 4.749; KTU3 4.749; CTU 4.749; CAT 4.749; RS 28.055; DO 6804	Record, cattle	Ugaritic Tablet KTU 4.749	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01513	KTU 4.75; KTU2 4.75; CTU 4.75; CAT 4.75; RS 11.773; RS 11.735; A 2786; A 2784; CTA 102; M 3367; M 3366	list of names	list of names	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_07543	KTU 4.750; KTU2 4.750; KTU3 4.750; CTU 4.750; CAT 4.750; RS 29.094; M 5452	= A 6168 List, persons owning houses in several towns	Ugaritic Tablet KTU 4.750	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07544	KTU 4.751; KTU2 4.751; KTU3 4.751; CTU 4.751; CAT 4.751; RS 29.096; M 8212	= A 6170 Record, comestibles	Ugaritic Tablet KTU 4.751	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07545	KTU 4.752; KTU2 4.752; KTU3 4.752; CTU 4.752; CAT 4.752; RS 29.097; M 5453	= A 6171 Record, numbers of royal servicemen assigned to a high officer	Ugaritic Tablet KTU 4.752	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07546	KTU 4.753; KTU2 4.753; KTU3 4.753; CTU 4.753; CAT 4.753; RS 29.101; M 5456	= A 6275 List, persons with numbers	Ugaritic Tablet KTU 4.753	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07547	KTU 4.754; KTU2 4.754; KTU3 4.754; CTU 4.754; CAT 4.754; RS 31.043; M 8572	List, PNN, legal text?	Ugaritic Tablet KTU 4.754	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07548	KTU 4.755; KTU2 4.755; KTU3 4.755; CTU 4.755; CAT 4.755; RS 31.080; M 8573	Record, sums paid by an individual to the charge of the administration	Ugaritic Tablet KTU 4.755	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07549	KTU 4.756; KTU2 4.756; KTU3 4.756; CTU 4.756; CAT 4.756; RS 31.081; M 8574	Content Uncertain	Ugaritic Tablet KTU 4.756	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07550	KTU 4.757; KTU2 4.757; KTU3 4.757; CTU 4.757; CAT 4.757; RS 31.082; M 8575	Content Uncertain, PNN	Ugaritic Tablet KTU 4.757	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07551	KTU 4.758; KTU2 4.758; KTU3 4.758; CTU 4.758; CAT 4.758; RS 31.083; M 8576	Content Uncertain	Ugaritic Tablet KTU 4.758	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07552	KTU 4.759; KTU2 4.759; KTU3 4.759; CTU 4.759; CAT 4.759; RS 34.121; M 845	List, persons with quantities of silver, some of them with their respective heirs	Ugaritic Tablet KTU 4.759	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_01514	KTU 4.76; KTU2 4.76; CTU 4.76; CAT 4.76; RS 11.756; AO 19.978; CTA 104	list of names	list of names	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_07553	KTU 4.760; KTU2 4.760; KTU3 4.760; CTU 4.760; CAT 4.760; RS 34.122; M 844	List, PNN	Ugaritic Tablet KTU 4.760	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07554	KTU 4.761; KTU2 4.761; KTU3 4.761; CTU 4.761; CAT 4.761; RS 34.123; M 846	List, persons grouped by trades/profession	Ugaritic Tablet KTU 4.761	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07555	KTU 4.762; KTU2 4.762; KTU3 4.762; CTU 4.762; CAT 4.762; RS 34.125; M 848	List, towns and persons	Ugaritic Tablet KTU 4.762	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07556	KTU 4.763; KTU2 4.763; KTU3 4.763; CTU 4.763; CAT 4.763; RS 34.162; M 851	List, persons with numbers	Ugaritic Tablet KTU 4.763	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07557	KTU 4.764; KTU2 4.764; KTU3 4.764; CTU 4.764; CAT 4.764; RS 34.176; M 852	Record, yields of olive groves	Ugaritic Tablet KTU 4.764	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07558	KTU 4.765; KTU2 4.765; KTU3 4.765; CTU 4.765; CAT 4.765; RS 34.180,10; M 853	Record	Ugaritic Tablet KTU 4.765	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07559	KTU 4.768; KTU2 4.768; KTU3 4.768; CTU 4.768; CAT 4.768; RS 18.116; DO 4834	Record, numbers of oxen allocated to individuals from several towns	Ugaritic Tablet KTU 4.768	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01515	KTU 4.78; KTU2 4.78; CTU 4.78; CAT 4.78; RS 11.775; A 2801; CTA 128; M 3416	list of names		Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_07560	KTU 4.788; KTU2 4.788; KTU3 4.788; CTU 4.788; CAT 4.788; RS 34.180,11; M 853	Record, quantities of flour	Ugaritic Tablet KTU 4.788	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_07561	KTU 4.789; KTU2 4.789; KTU3 4.789; CTU 4.789; CAT 4.789; RS 34.157; M 882	Economic	Ugaritic Tablet KTU 4.789	Ugaritic Texts	Economic Texts	National Museum of Aleppo, Syria
ISF_TXT_01516	KTU 4.79; KTU2 4.79; CTU 4.79; CAT 4.79; RS 11.777; A 2816; CTA 96; M 3382	list of names	list of names	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06254	KTU 4.8, KTU2 4.8, KTU3 4.8, CTU 4.8, CAT 4.8	List (PNs?)		Ugaritic Texts	Economic Texts	National Museum, Aleppo, Syria
ISF_TXT_01517	KTU 4.80; KTU2 4.80; CTU 4.80; CAT 4.80; RS 11.778; A 2815; CTA 81; M 3381	list of persons with locations and amounts	list of names	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01518	KTU 4.82; KTU2 4.82; CTU 4.82; CAT 4.82; RS 11.781; A 2808; CTA 111; M 3375	list of names		Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01519	KTU 4.85; KTU2 4.85; CTU 4.85; CAT 4.85; RS 11.786; AO 19.963; CTA 89	list of names (guild members and merchants)	list of names	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_01520	KTU 4.88; KTU2 4.88; CTU 4.88; CAT 4.88; RS 11.793; A 2804; CTA 145; M 3419	list of delivered items (yokes and wheels)	list of items	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01521	KTU 4.91; KTU2 4.91; CTU 4.91; CAT 4.91; RS 11.795; AO 19.974; CTA 141	list of items intended as tribute	list of items	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_01522	KTU 4.92; KTU2 4.92; CTU 4.92; CAT 4.92; RS 11.799; A 2809; CTA 157; M 3422	memorandum of issue of clothing	memorandum	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01523	KTU 4.93; KTU2 4.93; CTU 4.93; CAT 4.93; RS 11.800; RS 11.776; A 2783; CTA 115; M 8222	list of rations (?) for YTNM list of YTNM		Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06267	KTU 4.94, CTA 72, KTU2 4.94, KTU3 4.94, CTU 4.94, CAT 4.94	List (obv.: uncertain entities with numbers; rev.: towns with numbers)		Ugaritic Texts	Economic Texts	National Museum, Aleppo, Syria
ISF_TXT_01524	KTU 4.95; KTU2 4.95; CTU 4.95; CAT 4.95; RS 11.842; RS 11.836; A 2787; CTA 66; M 3368	list of towns with time indications	list of towns	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01525	KTU 4.96; KTU2 4.96; CTU 4.96; CAT 4.96; RS 11.840; AO 19.973; CTA 91	list of merchants by towns	list of names	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_01526	KTU 4.97; KTU2 4.97; CTU 4.97; CAT 4.97; RS 11.841; A 2810; CTA 103; M 3376	list of names	list of names	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01527	KTU 5.1; KTU2 5.1; CTU 5.1; CAT 5.1; RS 1.016; A 2778; CTA 112; M 3407; AO 12.012	scribal exercise of words beginning with Y	scribal exercise	Ugaritic Texts	Scribal Exercises	Louvre Museum, Paris, France
ISF_TXT_07562	KTU 5.10; KTU2 5.10; KTU3 5.10; CTU 5.10; CAT 5.10; RS 17.063; DO 4545	Scribal exercise: letter; or: letter	Ugaritic Tablet KTU 5.10	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07563	KTU 5.11; KTU2 5.11; KTU3 5.11; CTU 5.11; CAT 5.11; RS 17.117; DO 4583	Scribal exercise: letter; or: perfectly good letter?	Ugaritic Tablet KTU 5.11	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07564	KTU 5.12; KTU2 5.12; KTU3 5.12; CTU 5.12; CAT 5.12; RS 19.031; DO 5018	Scribal exercise: alphabet	Ugaritic Tablet KTU 5.12	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07565	KTU 5.13; KTU2 5.13; KTU3 5.13; CTU 5.13; CAT 5.13; RS 19.040; DO 5027	Scribal exercise: alphabet	Ugaritic Tablet KTU 5.13	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07566	KTU 5.14; KTU2 5.14; KTU3 5.14; CTU 5.14; CAT 5.14; RS 19.159; DO 5131	Scribal exercise: Ugaritic alphabet + syllabic/phonetic equivalents	Ugaritic Tablet KTU 5.14	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07567	KTU 5.15; KTU2 5.15; KTU3 5.15; CTU 5.15; CAT 5.15; RS 20.147; DO 5319	Scribal exercise: alphabet? + syllabic signs	Ugaritic Tablet KTU 5.15	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07568	KTU 5.16; KTU2 5.16; KTU3 5.16; CTU 5.16; CAT 5.16; RS 20.148; RS 21.069; DO 5320	Scribal exercise: alphabet	Ugaritic Tablet KTU 5.16	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07569	KTU 5.17; KTU2 5.17; KTU3 5.17; CTU 5.17; CAT 5.17; RS 20.164; DO 5336	Scribal exercise: alphabet + 3 lines in syllabic signs	Ugaritic Tablet KTU 5.17	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07570	KTU 5.18; KTU2 5.18; KTU3 5.18; CTU 5.18; CAT 5.18; RS 22.001; DO 5773	Scribal exercise: list of PNs beginning with i	Ugaritic Tablet KTU 5.18	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07571	KTU 5.19; KTU2 5.19; KTU3 5.19; CTU 5.19; CAT 5.19; RS 23.492; DO 6132	Scribal exercise: alphabet	Ugaritic Tablet KTU 5.19	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07572	KTU 5.20; KTU2 5.20; KTU3 5.20; CTU 5.20; CAT 5.20; RS 24.281; DO 6615	Scribal exercise: alphabet (teacher + pupil)	Ugaritic Tablet KTU 5.20	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07573	KTU 5.21; KTU2 5.21; KTU3 5.21; CTU 5.21; CAT 5.21; RS 24.288; DO 6619	Scribal exercise: alphabet	Ugaritic Tablet KTU 5.21	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07574	KTU 5.22; KTU2 5.22; KTU3 5.22; CTU 5.22; CAT 5.22; RS 26.135; DO 6772	Scribal exercise: PNs + words	Ugaritic Tablet KTU 5.22	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07575	KTU 5.25; KTU2 5.25; KTU3 5.25; CTU 5.25; CAT 5.25; RS 16.180; DO 4287	Scribal exercise (alphabet?) or rather legal text: caption or summary of the legal act described in Akkadian	Ugaritic Tablet KTU 5.25	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07576	KTU 5.29; KTU2 7.60; KTU3 5.29; CTU 5.29; CAT 5.29; RS 9.496; M 3410 2781; AO 19.432	= A Probably playful exercise or decoration with the wedge (formerly KTU3 7.60)	Ugaritic Tablet KTU 5.29	Ugaritic Texts	Scribal Exercises	National Museum of Aleppo, Syria
ISF_TXT_01528	KTU 5.3; KTU2 5.3; CTU 5.3; CAT 5.3; RS 8.203; A 2829; CTA 146; M 3385	scribal exercise	scribal exercise	Ugaritic Texts	Scribal Exercises	Archaeological Museum, Aleppo, Syria
ISF_TXT_07577	KTU 5.5; KTU2 5.5; KTU3 5.5; CTU 5.5; CAT 5.5; RS 12.019; DO 3681	Scribal exercise: alphabet, fragment	Ugaritic Tablet KTU 5.5	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07578	KTU 5.6; KTU2 5.6; KTU3 5.6; CTU 5.6; CAT 5.6; RS 12.063; DO 3651	Scribal exercise: alphabet	Ugaritic Tablet KTU 5.6	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07579	KTU 5.7; KTU2 5.7; KTU3 5.7; CTU 5.7; CAT 5.7; RS 12.064; DO 3690	Scribal exercise: PNs	Ugaritic Tablet KTU 5.7	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07580	KTU 5.8; KTU2 5.8; KTU3 5.8; CTU 5.8; CAT 5.8; RS 12.071; DO 3945	Scribal exercise: alphabet	Ugaritic Tablet KTU 5.8	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_07581	KTU 5.9; KTU2 5.9; KTU3 5.9; CTU 5.9; CAT 5.9; RS 16.265; DO 4339	Scribal exercise: letter + alphabet+ ?	Ugaritic Tablet KTU 5.9	Ugaritic Texts	Scribal Exercises	National Archaeological Museum, Damascus, Syria
ISF_TXT_01529	KTU 6.11; KTU2 6.11; CTU 6.11; CAT 6.11; RS 5.262; AO 28.064; CTA 159	wine tag in hieroglyphic Hittite	wine tag	Ugaritic Texts	Inscriptions on Seals, Label, Ivories	Louvre Museum, Paris, France
ISF_TXT_01530	KTU 6.12; KTU2 6.12; CTU 6.12; CAT 6.12; RS 5.269; CTA 158	label	label	Ugaritic Texts	Inscriptions on Seals, Label, Ivories	
ISF_TXT_07582	KTU 6.14; KTU2 6.14; KTU3 6.14; CTU 6.14; CAT 6.14; RS 6.028; M 8388 4623	= A Inscription on stela	Ugaritic Tablet KTU 6.14	Ugaritic Texts	Inscriptions	National Museum of Aleppo, Syria
ISF_TXT_07583	KTU 6.16; KTU2 6.16; KTU3 6.16; CTU 6.16; CAT 6.16; RS 13.004; DO 3702	Inscription on label	Ugaritic Tablet KTU 6.16	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07584	KTU 6.17; KTU2 6.17; KTU3 6.17; CTU 6.17; CAT 6.17; RS 14.023; DO 2535	Inscription on cylinder seal; mirror writing?	Ugaritic Tablet KTU 6.17	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07585	KTU 6.18; KTU2 6.18; KTU3 6.18; CTU 6.18; CAT 6.18; RS 15.026; DO 3915	Inscription on label	Ugaritic Tablet KTU 6.18	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07586	KTU 6.19; KTU2 6.19; KTU3 6.19; CTU 6.19; CAT 6.19; RS 15.080; DO 3953	Inscription on label	Ugaritic Tablet KTU 6.19	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07587	KTU 6.20; KTU2 6.20; KTU3 6.20; CTU 6.20; CAT 6.20; RS 15.097; DO 3970	Inscription on label	Ugaritic Tablet KTU 6.20	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07588	KTU 6.21; KTU2 6.21; KTU3 6.21; CTU 6.21; CAT 6.21; RS 15.192 A; DO 4040	Inscription on label	Ugaritic Tablet KTU 6.21	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07589	KTU 6.23; KTU2 6.23; KTU3 6.23; CTU 6.23; CAT 6.23; RS 16.270; DO 4344	Double cylinder seal impression	Ugaritic Tablet KTU 6.23	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07590	KTU 6.24; KTU2 6.24; KTU3 6.24; CTU 6.24; CAT 6.24; RS 17.072; DO 4553	Inscription on label	Ugaritic Tablet KTU 6.24	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07591	KTU 6.25; KTU2 6.25; KTU3 6.25; CTU 6.25; CAT 6.25; RS 17.073; DO 4554	Inscription on label	Ugaritic Tablet KTU 6.25	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07592	KTU 6.26; KTU2 6.26; KTU3 6.26; CTU 6.26; CAT 6.26; RS 17.318 B	Inscription on label	Ugaritic Tablet KTU 6.26	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07593	KTU 6.27; KTU2 6.27; KTU3 6.27; CTU 6.27; CAT 6.27; RS 17.361 B; DO 4698	Inscription on label	Ugaritic Tablet KTU 6.27	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07594	KTU 6.28; KTU2 6.28; KTU3 6.28; CTU 6.28; CAT 6.28; RS 17.361 C; DO 4699	Inscription on label	Ugaritic Tablet KTU 6.28	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07595	KTU 6.29; KTU2 6.29; KTU3 6.29; CTU 6.29; CAT 6.29; RS 17.364; DO 4702	Inscription on label	Ugaritic Tablet KTU 6.29	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07596	KTU 6.30; KTU2 6.30; KTU3 6.30; CTU 6.30; CAT 6.30; RS 20.396 RS 19.[260	Aa+b+g; Aa-Ab] Inscription on ivory, liver omen	Ugaritic Tablet KTU 6.30	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07597	KTU 6.32; KTU2 6.32; KTU3 6.32; CTU 6.32; CAT 6.32; RS 20.396 19.[260	Ac; RS Ac] Inscription on ivory	Ugaritic Tablet KTU 6.32	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07598	KTU 6.33; KTU2 6.33; KTU3 6.33; CTU 6.33; CAT 6.33; RS 20.396 19.[260	Ad; RS Ad] Inscription on ivory	Ugaritic Tablet KTU 6.33	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07599	KTU 6.34; KTU2 6.34; KTU3 6.34; CTU 6.34; CAT 6.34; RS 20.397 19.[261	Aa; RS Aa] Inscription on ivory	Ugaritic Tablet KTU 6.34	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
ISF_TXT_07600	KTU 6.35; KTU2 6.35; KTU3 6.35; CTU 6.35; CAT 6.35; RS 20.397 19.[261	Ab; RS Ab] Inscription on ivory	Ugaritic Tablet KTU 6.35	Ugaritic Texts	Inscriptions	National Archaeological Museum, Damascus, Syria
