isf_assigned_text_number	text_or_publication_number_note	text_descriptive_title	text_description	is_part_of_corpus1	category	location_of_original
ISF_TXT_01448	KTU 1.31; KTU2 1.31; CTU 1.31; CAT 1.31; RS 1- 11.[022]; AO 19.998D; CTA 46A	List of offerings (fragmentary)	offering list	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01449	KTU 1.39; KTU2 1.39; CTU 1.39; CAT 1.39; RS 1.[001]; A 2714; CTA 34; M 8214; AO 12.015	List of offerings with names of gods	offering list, sacrifices	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01244	KTU 1.4; CTA 4; CAT 1.4; KTU2 1.4; CTU 1.4; RS 3.341; RS 3.347; RS 2.[008]	Baal Myth Fourth Tablet	Anat and Baal approach Athirat, Athirat approaches El, El agrees	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01264	KTU 1.40; CTA 32; CAT 1.40; KTU2 1.40; CTU 1.40; RS 1.002	Expiatory Ritual	Atonement ritual for people of Ugarit Calendar of cultic obligations during the period of the New Year	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01265	KTU 1.41; CTA 35; CAT 1.41; KTU2 1.41; CTU 1.41; RS 1.003; RS 2.[005]	Vintage Ritual		Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01450	KTU 1.42; KTU2 1.42; CTU 1.42; CAT 1.42; RS 1.004; A 2743; AO 12.039; CTA 166; M 8216	Hurrian god list	god list, hymn	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01266	KTU 1.43; CTA 33; CAT 1.43; KTU2 1.43; CTU 1.43; RS 1.005	Palace Ritual Sacrifice	Series of offerings to accompany cultic processions Ugaritic Texts		Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01451	KTU 1.44; KTU2 1.44; CTU 1.44; CAT 1.44; RS 1.007; AO 12.016; CTA 168	Incense incantation for Kumarbi (Hurrian)	incantation	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01452	KTU 1.45; KTU2 1.45; CTU 1.45; CAT 1.45; RS 1.008; RS 1.031; A 2747; CTA 27; CTA 175; M 3358; AO 12.034	Fragmentary religious text	scribal exercise? myth?	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01267	KTU 1.46; CTA 36; CAT 1.46; KTU2 1.46; CTU 1.46; RS 1.009	Ritual Purification	Major festivals of a month (unnamed)	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01453	KTU 1.47; KTU2 1.47; CTU 1.47; CAT 1.47; RS 1.017; A 2713; CTA 29; M 3334; AO 12.003	Pantheon list of gods of Ugarit	god list	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01454	KTU 1.48; KTU2 1.48; CTU 1.48; CAT 1.48; RS 1.019; AO 12.037; CTA 39	Pantheon list of gods of Ugarit	god list, ritual, list (sacrifices)	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_06126	KTU 1.49, CTA 37, KTU2 1.49, KTU3 1.49, CTU 1.49, CAT 1.49	Ritual, list (sacrifices)		Ugaritic Texts	Literary and Religious Texts	National Museum, Aleppo, Syria
ISF_TXT_01245	KTU 1.5; CTA 5; CAT 1.5; KTU2 1.5; CTU 1.5; RS 2.[022]; RS 3.[565]	Baal Myth Fifth Tablet	Baal enters underworld, his body is discovered, El and Anat mourn him	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_06127	KTU 1.50, CTA 38, KTU2 1.50, KTU3 1.50, CTU 1.50, CAT 1.50	Ritual, list (sacrifices)		Ugaritic Texts	Literary and Religious Texts	National Museum, Aleppo, Syria
ISF_TXT_01455	KTU 1.51; KTU2 1.51; CTU 1.51; CAT 1.51; RS 1.027; AO 11.999; CTA 180	Hurrian god list	god list or incantation	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01456	KTU 1.52; KTU2 1.52; CTU 1.52; CAT 1.52; RS 1.028+1.035; AO 12.011+12.013; CTA 170	Hurrian god list	god list	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_06128	KTU 1.54, CTA 169, KTU2 1.54, KTU3 1.54, CTU 1.54, CAT 1.54	Incantation		Ugaritic Texts	Literary and Religious Texts	National Museum, Aleppo, Syria
ISF_TXT_06129	KTU 1.55, CTA 196, KTU2 1.55, KTU3 1.55, CTU 1.55, CAT 1.55	Myth?		Ugaritic Texts	Literary and Religious Texts	National Museum, Aleppo, Syria
ISF_TXT_06130	KTU 1.56, CTA 44, KTU2 1.56, KTU3 1.56, CTU 1.56, CAT 1.56	Ritual?, list (sacrifices)?		Ugaritic Texts	Literary and Religious Texts	National Museum, Aleppo, Syria
ISF_TXT_06131	KTU 1.57, CTA 45, KTU2 1.57, KTU3 1.57, CTU 1.57, CAT 1.57	Ritual?		Ugaritic Texts	Literary and Religious Texts	National Museum, Aleppo, Syria
ISF_TXT_01457	KTU 1.58; KTU2 1.58; CTU 1.58; CAT 1.58; RS 1.047; A 2831; CTA 43; M 3386; AO 12.031	Fragmentary text	ritual, list (sacrifices)	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_06132	KTU 1.59, CTA 176, KTU2 1.59, KTU3 1.59, CTU 1.59, CAT 1.59	Religious		Ugaritic Texts	Literary and Religious Texts	National Museum, Aleppo, Syria
ISF_TXT_01246	KTU 1.6; CTA 6; CAT 1.6; KTU2 1.6; CTU 1.6; RS 2.[009]; RS 5.155	Baal Myth Sixth Tablet	Shapsh helps Anat recover Baal's corpse, Anat destroys Mot, Baal is restored and fights Mot	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01458	KTU 1.60; KTU2 1.60; CTU 1.60; CAT 1.60; RS 2.006; AO 17.269; CTA 172	Hurrian god list	god list, sacrifices	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01459	KTU 1.61; KTU2 1.61; CTU 1.61; CAT 1.61; RS 2.[027]; AO 19.998G; CTA 197	Fragmentary text	myth?	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01460	KTU 1.62; KTU2 1.62; CTU 1.62; CAT 1.62; RS 3.324; RS 2.[021]; AO 17.317; CTA 26	Fragmentary text	myth?	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01461	KTU 1.65; KTU2 1.65; CTU 1.65; CAT 1.65; RS 4.474; A 2710; CTA 30; M 3331; AO 17.315	Prayer	scribal exercise? invocation of Il?, prayer?, incantation?	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01462	KTU 1.66; KTU2 1.66; CTU 1.66; CAT 1.66; RS 5.182; A 2725; CTA 179; M 8215	Hurrian god list	god list	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01463	KTU 1.67; KTU2 1.67; CTU 1.67; CAT 1.67; RS 5.199; AO 17.295; CTA 164	Akkadian religious text	scribal exercise, religious text in cuneiform alphabetic script Ugaritic Texts		Literary and Religious Texts	Louvre Museum, Paris, France
